wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4126.58491866
1000.0        4126.58491866
1500.0        4126.58491866
2000.0        4126.58491866
2500.0        4126.58491866
3000.0        4126.58491866
3500.0        4126.58491866
4000.0        4126.58491866
4500.0        4126.58491866
5000.0        4126.58491866
5500.0        4126.58491866
6000.0        4733.33601413
6500.0        5076.15894431
7000.0        5272.55661794
7500.0        5272.55661794
8000.0        6574.20436799
8500.0        7270.83349517
9000.0        7884.25293159
9500.0        8403.03135378
10000.0        8403.03135378
10500.0        9724.95687137
11000.0        10356.0316654
11500.0        10356.0316654
12000.0        10356.0316654
12500.0        10356.0316654
13000.0        10356.0316654
13500.0        10356.0316654
14000.0        10356.0316654
14500.0        10356.0316654
15000.0        10356.0316654
15500.0        10356.0316654
16000.0        10356.0316654
16500.0        10356.0316654
17000.0        10356.0316654
17500.0        10356.0316654
18000.0        10356.0316654
18500.0        10356.0316654
19000.0        10356.0316654
19500.0        10356.0316654
20000.0        10356.0316654
