wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1586.4700383
1000.0        1586.4700383
1500.0        1586.4700383
2000.0        1586.4700383
2500.0        1591.41102588
3000.0        2346.15609158
3500.0        2942.13950966
4000.0        3042.93312246
4500.0        3042.93312246
5000.0        5020.03383083
5500.0        5556.67973546
6000.0        6235.50951354
6500.0        6532.94260572
7000.0        6532.94260572
7500.0        6532.94260572
8000.0        6532.94260572
8500.0        6532.94260572
9000.0        6532.94260572
9500.0        6532.94260572
10000.0        6532.94260572
10500.0        6532.94260572
11000.0        6532.94260572
11500.0        6532.94260572
12000.0        6532.94260572
12500.0        6532.94260572
13000.0        6532.94260572
13500.0        6532.94260572
14000.0        6532.94260572
14500.0        6532.94260572
15000.0        6532.94260572
15500.0        6532.94260572
16000.0        6532.94260572
16500.0        6532.94260572
17000.0        6532.94260572
17500.0        6532.94260572
18000.0        6532.94260572
18500.0        6532.94260572
19000.0        6532.94260572
19500.0        6532.94260572
20000.0        6532.94260572
